reactionID,dcid
bio/HMR_4149,bio/CHEMBL14249
bio/HMR_8772,bio/CHEMBL14249
bio/HMR_8781,bio/CHEMBL14249
bio/HMR_0200,bio/CHEMBL14249
bio/HMR_0204,bio/CHEMBL14249
bio/HMR_0241,bio/CHEMBL14249
bio/HMR_0255,bio/CHEMBL14249
bio/HMR_0263,bio/CHEMBL14249
bio/HMR_0275,bio/CHEMBL14249
bio/HMR_0289,bio/CHEMBL14249
bio/HMR_0297,bio/CHEMBL14249
bio/HMR_0369,bio/CHEMBL14249
bio/HMR_0373,bio/CHEMBL14249
bio/HMR_0381,bio/CHEMBL14249
bio/HMR_0385,bio/CHEMBL14249
bio/HMR_0389,bio/CHEMBL14249
bio/HMR_0393,bio/CHEMBL14249
bio/HMR_0417,bio/CHEMBL14249
bio/HMR_0421,bio/CHEMBL14249
bio/HMR_0425,bio/CHEMBL14249
bio/HMR_0429,bio/CHEMBL14249
bio/HMR_0433,bio/CHEMBL14249
bio/HMR_4156,bio/CHEMBL14249
bio/HMR_6398,bio/CHEMBL14249
bio/HMR_1065,bio/CHEMBL14249
bio/HMR_1066,bio/CHEMBL14249
bio/HMR_1067,bio/CHEMBL14249
bio/HMR_1068,bio/CHEMBL14249
bio/HMR_1069,bio/CHEMBL14249
bio/HMR_1070,bio/CHEMBL14249
bio/HMR_1248,bio/CHEMBL14249
bio/HMR_0604,bio/CHEMBL14249
bio/HMR_1445,bio/CHEMBL14249
bio/HMR_1451,bio/CHEMBL14249
bio/HMR_0744,bio/CHEMBL14249
bio/HMR_0760,bio/CHEMBL14249
bio/HMR_0773,bio/CHEMBL14249
bio/HMR_0673,bio/CHEMBL14249
bio/HMR_0674,bio/CHEMBL14249
bio/HMR_0675,bio/CHEMBL14249
bio/HMR_0676,bio/CHEMBL14249
bio/HMR_0677,bio/CHEMBL14249
bio/HMR_0678,bio/CHEMBL14249
bio/HMR_0450,bio/CHEMBL14249
bio/HMR_0636,bio/CHEMBL14249
bio/HMR_0648,bio/CHEMBL14249
bio/HMR_1622,bio/CHEMBL14249
bio/HMR_1627,bio/CHEMBL14249
bio/HMR_1659,bio/CHEMBL14249
bio/HMR_1696,bio/CHEMBL14249
bio/HMR_1697,bio/CHEMBL14249
bio/HMR_1754,bio/CHEMBL14249
bio/HMR_1756,bio/CHEMBL14249
bio/HMR_1832,bio/CHEMBL14249
bio/HMR_1853,bio/CHEMBL14249
bio/HMR_1868,bio/CHEMBL14249
bio/HMR_1870,bio/CHEMBL14249
bio/HMR_1872,bio/CHEMBL14249
bio/HMR_1874,bio/CHEMBL14249
bio/HMR_1896,bio/CHEMBL14249
bio/HMR_4253,bio/CHEMBL14249
bio/HMR_4257,bio/CHEMBL14249
bio/HMR_4260,bio/CHEMBL14249
bio/HMR_4261,bio/CHEMBL14249
bio/HMR_4265,bio/CHEMBL14249
bio/HMR_4269,bio/CHEMBL14249
bio/HMR_3871,bio/CHEMBL14249
bio/HMR_4714,bio/CHEMBL14249
bio/HMR_4718,bio/CHEMBL14249
bio/HMR_4727,bio/CHEMBL14249
bio/HMR_6542,bio/CHEMBL14249
bio/HMR_6544,bio/CHEMBL14249
bio/HMR_6546,bio/CHEMBL14249
bio/HMR_6548,bio/CHEMBL14249
bio/HMR_6551,bio/CHEMBL14249
bio/HMR_6554,bio/CHEMBL14249
bio/HMR_6555,bio/CHEMBL14249
bio/HMR_6563,bio/CHEMBL14249
bio/HMR_6566,bio/CHEMBL14249
bio/HMR_6567,bio/CHEMBL14249
bio/HMR_6568,bio/CHEMBL14249
bio/HMR_6573,bio/CHEMBL14249
bio/HMR_6574,bio/CHEMBL14249
bio/HMR_6576,bio/CHEMBL14249
bio/HMR_6579,bio/CHEMBL14249
bio/HMR_6587,bio/CHEMBL14249
bio/HMR_6592,bio/CHEMBL14249
bio/HMR_6595,bio/CHEMBL14249
bio/HMR_7652,bio/CHEMBL14249
