id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00809c,"""3-keto-4-methylzymosterol""",dcs:CellularCompartmentEnumCytosol,C28H44O,4mzym_int2,"""CHEBI:50593""",,C15816,MNXM162901,,,LMST01010167,bio/C28H44O
m00810s,"""3-keto-beta-D-galactose""",dcs:CellularCompartmentEnumExtracellular,C6H10O6,,"""CHEBI:27453""",,C05394,MNXM4339,,440653,,bio/C6H10O6
m00811c,"""3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C41H60N7O18P3S,,,,,MNXM164249,,,,bio/C41H60N7O18P3S
m00812s,"""3-ketolactose""",dcs:CellularCompartmentEnumExtracellular,C12H20O11,,,,C05403,MNXM36578,,,,bio/C12H20O11
m00813p,"""3-ketopristanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C40H66N7O18P3S,,"""CHEBI:28542""",,C07297,MNXM4346,HMDB02057,441253,,bio/C40H66N7O18P3S
m00814p,"""3-keto-THA-CoA""",dcs:CellularCompartmentEnumPeroxisome,C45H64N7O18P3S,,,,,MNXM91783,,,LMFA07050068,bio/C45H64N7O18P3S
m00815c,"""3-mercaptolactate""",dcs:CellularCompartmentEnumCytosol,C3H5O3S,mercplac,"""CHEBI:28580""",,C05823,MNXM6822,,160645,,bio/C3H5O3S
m00816c,"""3-mercaptolactate-cysteine-disulfide""",dcs:CellularCompartmentEnumCytosol,C6H10O5S2N,mercplaccys,,,,MNXM10053,HMDB06512,193536,,bio/C6H10O5S2N
m00816s,"""3-mercaptolactate-cysteine-disulfide""",dcs:CellularCompartmentEnumExtracellular,C6H10O5S2N,mercplaccys,,,,MNXM10053,HMDB06512,193536,,bio/C6H10O5S2N
m00817m,"""3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate""",dcs:CellularCompartmentEnumMitochondria,C58H87O4,3dpdhb_me,,,,MNXM5516,,,,bio/C58H87O4
m00818c,"""3-methoxy-4-hydroxyphenylacetaldehyde""",dcs:CellularCompartmentEnumCytosol,C9H10O3,3mox4hpac,"""CHEBI:28111""",,C05581,MNXM4183,,151276,,bio/C9H10O3
m00819c,"""3-methoxy-4-hydroxyphenylethyleneglycol""",dcs:CellularCompartmentEnumCytosol,C9H12O4,,,,C05594,MNXM6093,,,,bio/C9H12O4
m00820c,"""3-methoxy-4-hydroxyphenylglycolaldehyde""",dcs:CellularCompartmentEnumCytosol,C9H10O4,3m4hpga,,,C05583,MNXM162904,,440729,,bio/C9H10O4
m00821c,"""3-methoxytyramine""",dcs:CellularCompartmentEnumCytosol,C9H14NO2,3moxtyr,"""CHEBI:742324""",,C05587,MNXM3848,HMDB00022,1669,,bio/C9H14NO2
m00822c,"""3-methyl-2-oxobutanoate-dehydrogenase""",dcs:CellularCompartmentEnumCytosol,C4H6N2O3R2,,,,C04726,MNXM96099,,,,bio/C4H6N2O3R2
m00823c,"""3-methyl-2-oxobutanoate-dehydrogenase-phosphate""",dcs:CellularCompartmentEnumCytosol,C4H7N2O6PR2,,,,C01308,MNXM92055,,,,bio/C4H7N2O6PR2
m00824c,"""3-methyl-2-oxobutyrate""",dcs:CellularCompartmentEnumCytosol,C5H7O3,3mob,"""CHEBI:16530""",CHEMBL146554,C00141,MNXM238,HMDB00019,49,,bio/CHEMBL146554
m00824m,"""3-methyl-2-oxobutyrate""",dcs:CellularCompartmentEnumMitochondria,C5H7O3,3mob,"""CHEBI:16530""",CHEMBL146554,C00141,MNXM238,HMDB00019,49,,bio/CHEMBL146554
m00825m,"""3-methylcrotonoylglycine""",dcs:CellularCompartmentEnumMitochondria,C7H10NO3,,,,,MNXM166207,,169485,,bio/C7H10NO3
m00826m,"""3-methylcrotonyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C26H38N7O17P3S,3mb2coa,"""CHEBI:15486""",,C03069,MNXM389,HMDB01493,439869,,bio/C26H38N7O17P3S
m00827m,"""3-methylglutaconyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C27H37N7O19P3S,3mgcoa,"""CHEBI:15488""",,C03231,MNXM91417,,5462214,,bio/C27H37N7O19P3S
m00828c,"""3-monoiodo-L-thyronine""",dcs:CellularCompartmentEnumCytosol,C15H14INO4,,,,,MNXM169240,,,,bio/C15H14INO4
m00828r,"""3-monoiodo-L-thyronine""",dcs:CellularCompartmentEnumEndoplasmicReticulum,C15H14INO4,,,,,MNXM169240,,,,bio/C15H14INO4
m00829c,"""3-monoiodo-L-thyronine-4-O-sulfate""",dcs:CellularCompartmentEnumCytosol,C15H13INO7S,,,,,MNXM150752,,,,bio/C15H13INO7S
