id,compartment,metabolite_dcid
m00104r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8844
m00104s,dcs:CellularCompartmentExtracellular,bio/MNXM8844
m00105c,dcs:CellularCompartmentCytosol,bio/MNXM8845
m00105m,dcs:CellularCompartmentMitochondria,bio/MNXM8845
m00105r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM8845
m00106c,dcs:CellularCompartmentCytosol,bio/MNXM4036
m00106m,dcs:CellularCompartmentMitochondria,bio/MNXM4036
m00106r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM4036
m00107c,dcs:CellularCompartmentCytosol,bio/MNXM9118
m00107m,dcs:CellularCompartmentMitochondria,bio/MNXM9118
m00107r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9118
m00108c,dcs:CellularCompartmentCytosol,bio/MNXM3361
m00108m,dcs:CellularCompartmentMitochondria,bio/MNXM3361
m00108r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM3361
m00109c,dcs:CellularCompartmentCytosol,bio/MNXM9140
m00109r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9140
m00110c,dcs:CellularCompartmentCytosol,bio/MNXM5944
m00110p,dcs:CellularCompartmentPeroxisome,bio/MNXM5944
m00110r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM5944
m00111c,dcs:CellularCompartmentCytosol,bio/MNXM12998
m00111l,dcs:CellularCompartmentLysosome,bio/MNXM12998
m00111r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM12998
m00111s,dcs:CellularCompartmentExtracellular,bio/MNXM12998
m00112c,dcs:CellularCompartmentCytosol,bio/(6Z_9Z_12Z_15Z_18Z_21Z)-tetracosahexaenoylcarnitine
m00112r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(6Z_9Z_12Z_15Z_18Z_21Z)-tetracosahexaenoylcarnitine
m00113c,dcs:CellularCompartmentCytosol,bio/MNXM6449
m00113p,dcs:CellularCompartmentPeroxisome,bio/MNXM6449
